Poem_Index,Title,Author,URL,Content,A,B,C,Translation
163,楚江怀古三首·其一,马戴 〔唐代〕,https://www.gushiwen.cn/shiwenv_2a4d274daaf8.aspx,"露气寒光集，微阳下楚丘。
猿啼洞庭树，人在木兰舟。
广泽生明月，苍山夹乱流。
云中君不见，竟夕自悲秋。",山居秋暝,早秋三首·其一,将进酒,雾露团团凝聚寒气侵人，夕阳已经落下楚地的山丘。洞庭湖畔的树上猿啼声不断，乘着木兰舟悠闲地在湖中泛游。明月从广阔的湖面上缓缓升起，两岸青山夹着滔滔乱流。美丽的云神始终不肯降临，使我终夜苦思，独自悲秋。
164,梦游天姥吟留别,李白 〔唐代〕,https://www.gushiwen.cn/shiwenv_05e2f6fc757c.aspx,"海客谈瀛洲，烟涛微茫信难求；
越人语天姥，云霞明灭或可睹。
天姥连天向天横，势拔五岳掩赤城。
天台四万八千丈，对此欲倒东南倾。(四万 一作：一万)
我欲因之梦吴越，一夜飞度镜湖月。
湖月照我影，送我至剡溪。
谢公宿处今尚在，渌水荡漾清猿啼。
脚著谢公屐，身登青云梯。
半壁见海日，空中闻天鸡。
千岩万转路不定，迷花倚石忽已暝。
熊咆龙吟殷岩泉，栗深林兮惊层巅。
云青青兮欲雨，水澹澹兮生烟。
列缺霹雳，丘峦崩摧。
洞天石扉，訇然中开。
青冥浩荡不见底，日月照耀金银台。
霓为衣兮风为马，云之君兮纷纷而来下。
虎鼓瑟兮鸾回车，仙之人兮列如麻。
忽魂悸以魄动，恍惊起而长嗟。
惟觉时之枕席，失向来之烟霞。
世间行乐亦如此，古来万事东流水。
别君去兮何时还？且放白鹿青崖间，须行即骑访名山。
安能摧眉折腰事权贵，使我不得开心颜？",蜀道难,游子吟,长相思·其一,"听海外来客们谈起瀛洲，烟波渺茫实在难以寻求。
越中来人说起天姥山，在云雾忽明忽暗间有时能看见。
天姥山仿佛连接着天遮断了天空，山势高峻超过五岳，遮掩过赤城山。
天台山虽高四万八千丈，面对着它好像要向东南倾斜拜倒一样。
我想依据越人说的话梦游到吴越，一天夜晚飞渡过明月映照下的镜湖。
镜湖上的月光照着我的身影，一直送我到了剡溪。
谢灵运住的地方如今还在，清澈的湖水荡漾，猿猴凄清啼叫。
我脚上穿着谢公当年特制的木鞋，攀登直上云霄的山路。
上到半山腰就看见了从海上升起的太阳，空中传来天鸡报晓的啼鸣之声。
无数山岩重叠，山道曲折，盘旋变化不定。迷恋着花，依倚着石，不觉天色已晚。
熊在怒吼，龙在长鸣，岩中的泉水在震响，使深林战栗，使高耸而重叠的山峰惊颤。
云层黑沉沉的，像是要下雨，水波动荡生起了薄薄的烟雾。
电光闪闪，雷声轰鸣，山峰好像要崩塌似的。
仙府的石门，“訇”的一声从中间打开。
洞中蔚蓝的天空广阔无际，看不到尽头，日月照耀着金银做的宫阙。
用彩虹做衣裳，将风作为马来乘，云中的神仙们纷纷下来。
老虎弹奏着琴瑟，鸾鸟驾着车。仙人们排成列，密密麻麻。
忽然魂魄惊动，我猛然惊醒，不禁长声叹息。
醒来时只有身边的枕席，刚才梦中所见的烟雾云霞全都消失了。
人世间的欢乐也是像梦中的幻境这样，自古以来万事都像东流的水一样一去不复返。
告别诸君，此番远去不知何时才能回来？暂且把白鹿放牧在青崖间，等到要远行时就骑上它寻访名山。
岂能卑躬屈膝去侍奉权贵，让自己不能有舒心畅意的笑颜！"
165,梦李白二首·其二,杜甫 〔唐代〕,https://www.gushiwen.cn/shiwenv_12c487f7a589.aspx,"浮云终日行，游子久不至。
三夜频梦君，情亲见君意。
告归常局促，苦道来不易。
江湖多风波，舟楫恐失坠。
出门搔白首，若负平生志。
冠盖满京华，斯人独憔悴。
孰云网恢恢，将老身反累。
千秋万岁名，寂寞身后事。",遣悲怀三首·其二,孤雁二首·其二,送綦毋潜落第还乡,天上浮云终日飞来飘去，远游的故人为何久久不至。夜晚我总是频频梦到你，可知你对我的深情厚谊。分别时你总是神色匆匆，还总说相见多不容易。江湖上航行多险风恶浪，担心你的船被掀翻沉没。出门时搔着满头的白发，悔恨辜负自己平生之志。京都的官僚们冠盖相续，才华盖世的你却容颜憔悴。谁能说天理公道无欺人，迟暮之年却无辜受牵累。即使有流芳千秋的美名，难以补偿遭受的冷落悲戚。
166,梦李白二首·其一,杜甫 〔唐代〕,https://www.gushiwen.cn/shiwenv_46c874845670.aspx,"死别已吞声，生别常恻恻。
江南瘴疠地，逐客无消息。
故人入我梦，明我长相忆。
恐非平生魂，路远不可测。
魂来枫林青，魂返关塞黑。
君今在罗网，何以有羽翼？
落月满屋梁，犹疑照颜色。
水深波浪阔，无使蛟龙得。",长相思·其一,宫词二首·其一,长恨歌,为死别往往使人泣不成声，而生离却常令人更加伤悲。江南山泽是瘴疬流行之处，被贬谪的人为何毫无消息？老朋友你忽然来到我梦里，因为你知道我常把你记忆。梦中的你恐不会是鬼魂吧，路途遥远生与死实难估计。灵魂飘来是从西南青枫林，灵魂返回是由关山的黑地。你如今陷入囹圄身不由己，哪有羽翼飞来这北国之地？明月落下清辉洒满了屋梁，迷离中见到你的颜容憔悴。水深浪阔旅途请多加小心，不要失足落入蛟龙的嘴里。
167,桃花溪,张旭 〔唐代〕,https://www.gushiwen.cn/shiwenv_7415a0681d7c.aspx,"隐隐飞桥隔野烟，石矶西畔问渔船。
桃花尽日随流水，洞在清溪何处边。",寄扬州韩绰判官,桃源行,阙题,山谷云烟缭绕，溪上飞架的高桥若隐若现；站在岩石西侧询问那捕鱼归来渔人。这里桃花随着流水，终日地漂流不尽，这不就是桃花源外的桃花溪吗？你可知桃源洞口在清溪的哪边？
168,桃源行,王维 〔唐代〕,https://www.gushiwen.cn/shiwenv_231daf6badef.aspx,"渔舟逐水爱山春，两岸桃花夹古津。
坐看红树不知远，行尽青溪不见人。(不见 一作：忽值)
山口潜行始隈隩，山开旷望旋平陆。
遥看一处攒云树，近入千家散花竹。
樵客初传汉姓名，居人未改秦衣服。
居人共住武陵源，还从物外起田园。
月明松下房栊静，日出云中鸡犬喧。
惊闻俗客争来集，竞引还家问都邑。
平明闾巷扫花开，薄暮渔樵乘水入。
初因避地去人间，及至成仙遂不还。
峡里谁知有人事，世中遥望空云山。
不疑灵境难闻见，尘心未尽思乡县。
出洞无论隔山水，辞家终拟长游衍。
自谓经过旧不迷，安知峰壑今来变。
当时只记入山深，青溪几度到云林。
春来遍是桃花水，不辨仙源何处寻。",送魏万之京,桃花溪,秋登兰山寄张五,渔舟顺溪而下，追寻那美妙的春景，夹岸桃花映红了古渡口两旁。花树缤纷，忘记了路程远近；行到青溪尽处，忽然隐约似见人烟。走入了幽深曲折的山口，再往前，豁然开朗一片平川。远望去丛丛绿树有如云霞绮聚集，进村见户户门前翠竹鲜花掩映。第一次才听说汉以后的朝代，村民穿戴的还是秦代衣装。他们世代聚居在武陵源，在这里共建了世外田园。明月朗照，松下房栊寂静；旭日升起，村中鸡犬声响起。村人惊讶地把外客迎接，争相邀请，询问那世上的消息。清晨的街巷，家家打扫花径；傍晚的溪边，渔樵乘船回村。当初因避乱世逃出尘寰，寻到这桃源仙境便不归还。从此隐居峡谷，再不管外间变化；世人求访异境，不过是空望云山。渔人不怀疑这是难得的仙境，但凡心未尽只把家园挂牵；出洞后他不顾隔山隔水，又决定辞家来此仙源。自认为来过的地方不会迷路，怎知道眼前的峰壑全然改变。当时曾记得山径幽深，沿青溪几回弯曲才到桃林。此日又逢春天，依然遍地桃花水；仙源何处，已杳杳难寻，不辨道路！
169,枫桥夜泊,张继 〔唐代〕,https://www.gushiwen.cn/shiwenv_6fb73f607ad3.aspx,"月落乌啼霜满天，江枫渔火对愁眠。
姑苏城外寒山寺，夜半钟声到客船。",旅宿,夜泊牛渚怀古,泊秦淮,月亮已落下乌鸦啼叫寒气满天，面对江边枫树与船上渔火，我忧愁难眠。姑苏城外那寒山古寺，半夜里敲响的钟声传到了我乘坐的客船。
170,李端公,卢纶 〔唐代〕,https://www.gushiwen.cn/shiwenv_fdae6ac54db6.aspx,"故关衰草遍，离别自堪悲。(自堪悲 一作：正堪悲)
路出寒云外，人归暮雪时。
少孤为客早，多难识君迟。
掩泪空相向，风尘何处期。(掩泪 一作：掩泣)",在狱咏蝉,寄李儋元锡,送綦毋潜落第还乡,故乡枯萎的野草遍地蔓延，这般离别场景，本就足以让人悲伤。你要踏上的路途伸向寒云之外，我独自归来时只见暮雪纷飞。年少时便失去亲人，早早漂泊他乡为客；世事多难，遗憾与你相识得太晚。如今只能掩面垂泪，空自向着你离去的方向凝望；这乱世中，不知何时才能再次相聚。
171,杂诗三首·其二,王维 〔唐代〕,https://www.gushiwen.cn/shiwenv_8d889937d1fe.aspx,"君自故乡来，应知故乡事。
来日绮窗前，寒梅著花未？",静夜思,孤雁二首·其二,早秋三首·其一,您是刚从我们家乡来的，一定了解家乡的人情世态。请问您来的时候我家雕画花纹的窗户前，那一株腊梅花开了没有？
172,杂诗三首·其三,沈佺期 〔唐代〕,https://www.gushiwen.cn/shiwenv_06ffa37f5123.aspx,"闻道黄龙戍，频年不解兵。
可怜闺里月，长在汉家营。
少妇今春意，良人昨夜情。
谁能将旗鼓，一为取龙城。",子夜吴歌·秋歌,遣悲怀三首·其三,出塞,听说黄龙城有战争，连续多年双方都没有放下兵器。可怜那独自在闺房中看的月亮，总是照耀着汉家的军营。今晚上少妇的相思情意，正是昨夜丈夫的思家之情。谁能率领军队，发起进攻，一举拿下敌方要地，结束这场战争呢？
173,杂诗·近寒食雨草萋萋,佚名 〔唐代〕,https://www.gushiwen.cn/shiwenv_4508caf3b53b.aspx,"近寒食雨草萋萋，著麦苗风柳映堤。
等是有家归未得，杜鹃休向耳边啼。(等 一作：早)",寒食,杂诗三首·其二,杂诗三首·其三,寒食将近，春雨绵绵，春草萋萋；春风过处麦苗摇摆，堤上杨柳依依。同样是有家，我却有家归不得，杜鹃啊，请不要在我耳边不停地悲啼。
174,望蓟门,祖咏 〔唐代〕,https://www.gushiwen.cn/shiwenv_0e1671eb861a.aspx,"燕台一望客心惊，笳鼓喧喧汉将营。(一望 一作：一去；笳鼓 一作：箫鼓)
万里寒光生积雪，三边曙色动危旌。
沙场烽火连胡月，海畔云山拥蓟城。(连胡月 一作：侵胡月)
少小虽非投笔吏，论功还欲请长缨。",听董大弹胡笳声兼寄语弄房给事,野望,春望,登上燕台眺望不禁感到震惊，笳鼓喧闹之地原是汉将兵营。万里积雪笼罩着冷冽的寒光，边塞的曙光映照着旌旗飘动。战场烽火连天遮掩边塞明月，南渤海北云山拱卫着蓟门城。少年时虽不像班超投笔从戎，论功名我想学终军自愿请缨。
175,望洞庭湖赠张丞相,孟浩然 〔唐代〕,https://www.gushiwen.cn/shiwenv_ae20659aff8c.aspx,"八月湖水平，涵虚混太清。
气蒸云梦泽，波撼岳阳城。
欲济无舟楫，端居耻圣明。
坐观垂钓者，徒有羡鱼情。",梦李白二首·其二,八月十五夜赠张功曹,石鱼湖上醉歌,八月湖水盛涨几乎与岸平，水天含混迷茫与天空浑然一体。云梦大泽水气蒸腾白白茫茫，波涛汹涌似乎把岳阳城撼动。想要渡水却没有船只，闲居不仕，有愧于圣明天子。坐看垂钓之人多么悠闲自在，可惜只能空怀一片羡鱼之情。
176,望月有感,白居易 〔唐代〕,https://www.gushiwen.cn/shiwenv_5dfc1bd59fed.aspx,"自河南经乱，关内阻饥，兄弟离散，各在一处。因望月有感，聊书所怀，寄上浮梁大兄、於潜七兄、乌江十五兄，兼示符离及下邽弟妹。
时难年荒世业空，弟兄羁旅各西东。
田园寥落干戈后，骨肉流离道路中。
吊影分为千里雁，辞根散作九秋蓬。
共看明月应垂泪，一夜乡心五处同。",佳人,望月怀远,长恨歌,"自从河南地区经历战乱，关内一带漕运受阻致使饥荒四起，我们兄弟也因此流离失散，各自在一处。因为看到月亮而有所感触，便随性写成诗一首来记录感想，寄给在浮梁的大哥、在於潜的七哥，在乌江的十五哥和在符离、下邽的弟弟妹妹们看。

战乱灾荒祖先产业荡然空，弟兄漂泊寄居他乡各西东。
战乱过后田园荒芜寥落，逃亡途中骨肉同胞流落离散。
顾影自怜好像离群的旅雁，行踪不定酷似无根的秋蓬。
同看明月，分散的亲人都会伤心落泪，一夜思乡心情五地相同。"
177,望月怀远,张九龄 〔唐代〕,https://www.gushiwen.cn/shiwenv_7cc200edc65e.aspx,"海上生明月，天涯共此时。
情人怨遥夜，竟夕起相思。
灭烛怜光满，披衣觉露滋。
不堪盈手赠，还寝梦佳期。",章台夜思,楚江怀古三首·其一,静夜思,辽阔无边的大海上升起一轮明月，使人想起了远在天涯海角的亲友，此时此刻也该是望着同一轮明月。多情的人都怨恨月夜漫长，整夜里不眠而把亲人怀想。熄灭蜡烛怜爱这满屋月光，我披衣徘徊深感夜露寒凉。月华虽好但是不能相赠，不如回到梦乡觅取佳期。
178,望岳,杜甫 〔唐代〕,https://www.gushiwen.cn/shiwenv_efec283b31e0.aspx,"岱宗夫如何？齐鲁青未了。
造化钟神秀，阴阳割昏晓。
荡胸生曾云，决眦入归鸟。( 曾 同：层)
会当凌绝顶，一览众山小。",终南山,野望,春望,五岳之首的泰山怎么样？在齐鲁大地上，那苍翠的美好山色没有尽头。大自然把神奇秀丽的景象全都汇聚其中，山南山北阴阳分界，晨昏迥然不同。升腾的层层云气，使心胸摇荡；极力张大眼睛远望归鸟隐入了山林。我定要登上那最高峰，俯瞰在泰山面前显得渺小的群山。
179,月夜忆舍弟,杜甫 〔唐代〕,https://www.gushiwen.cn/shiwenv_ad6f7cfa10c2.aspx,"戍鼓断人行，边秋一雁声。(边秋 一作:秋边)
露从今夜白，月是故乡明。
有弟皆分散，无家问死生。
寄书长不达，况乃未休兵。",长干行·其一,九月九日忆山东兄弟,关山月,戍楼上的更鼓声断绝了人行，秋夜的边塞传来了孤雁哀鸣。从今夜就进入了白露节气，月亮还是故乡的最明亮。虽有兄弟但都离散各去一方，家园无存，互相间都无从得知死生的消息。寄往洛阳城的家书老是不能送到，何况战乱频繁还没有停止。
180,月夜·更深月色半人家,刘方平 〔唐代〕,https://www.gushiwen.cn/shiwenv_cb396f21ec13.aspx,"更深月色半人家，北斗阑干南斗斜。
今夜偏知春气暖，虫声新透绿窗纱。",寄人,月夜·今夜鄜州月,月夜忆舍弟,夜静更深，朦胧的斜月撒下点点清辉，映照着家家户户。夜空中，北斗星和南斗星都已横斜。今夜出乎意料地感觉到了初春暖意，还听得春虫叫声穿透绿色窗纱。
181,月夜·今夜鄜州月,杜甫 〔唐代〕,https://www.gushiwen.cn/shiwenv_1e8a3b873f28.aspx,"今夜鄜州月，闺中只独看。
遥怜小儿女，未解忆长安。
香雾云鬟湿，清辉玉臂寒。
何时倚虚幌，双照泪痕干。",宿府,月夜·更深月色半人家,月夜忆舍弟,今夜里鄜州上空那轮圆月，只有你在闺房中独自遥看。远在他方怜想幼小的儿女，还不懂得你为何思念长安？蒙蒙雾气沾湿了你的鬓发；清冷的月光使你的玉臂生寒。什么时候才能在一起共同靠在透光的窗帘或帷幔旁，让月光擦干两人的思念的泪。
182,月下独酌·其一,李白 〔唐代〕,https://www.gushiwen.cn/shiwenv_3185407c5519.aspx,"花间一壶酒，独酌无相亲。
举杯邀明月，对影成三人。
月既不解饮，影徒随我身。
暂伴月将影，行乐须及春。
我歌月徘徊，我舞影零乱。
醒时同交欢，醉后各分散。(同交欢 一作：相交欢)
永结无情游，相期邈云汉。",八月十五夜赠张功曹,长信秋词五首·其三,将进酒,在花丛中摆上一壶美酒，我自斟自饮，身边没有一个亲友。举杯向天，邀请明月，与我的影子相对，便成了三人。明月既不能理解开怀畅饮之乐，影子也只能默默地跟随在我的左右。暂且以明月影子相伴，趁此春宵要及时行乐。我吟诵诗篇，月亮伴随我徘徊，我手舞足蹈，影子便随我蹁跹。清醒时我与你一同分享欢乐，酒醉以后各奔东西。但愿能永远尽情漫游，相约在缥缈的银河边。
183,晨诣超师院读禅经,柳宗元 〔唐代〕,https://www.gushiwen.cn/shiwenv_8483f12e6ef6.aspx,"汲井漱寒齿，清心拂尘服。
闲持贝叶书，步出东斋读。
真源了无取，妄迹世所逐。
遗言冀可冥，缮性何由熟。
道人庭宇静，苔色连深竹。
日出雾露馀，青松如膏沐。
澹然离言说，悟悦心自足。",阙题,题破山寺后禅院,行经华山,汲来清凉井水漱口刷牙，心清了再拂去衣上尘土。悠闲地捧起佛门贝叶经，信步走出东斋吟咏朗读。佛经真谛世人并无领悟，荒诞之事却为人们追逐。佛儒精义原也可望暗合，但修养本性我何以精熟。道人禅院多么幽雅清静，绿色鲜苔连接竹林深处。太阳出来照着晨雾余露，苍翠松树宛若沐后涂脂。清静使我恬淡难以言说，悟出佛理内心畅快满足。
184,晚次鄂州,卢纶 〔唐代〕,https://www.gushiwen.cn/shiwenv_b108020809b7.aspx,"云开远见汉阳城，犹是孤帆一日程。
估客昼眠知浪静，舟人夜语觉潮生。
三湘衰鬓逢秋色，万里归心对月明。
旧业已随征战尽，更堪江上鼓鼙声。",关山月,送李中丞之襄州,次北固山下,雾散云开远远望见汉阳城，孤舟漂游还要走一日路程。商贾在白日睡觉知道浪静，船夫在夜间说话感到潮生。看三湘秋色两边鬓发衰白，望万里明月思归心意更增。家乡旧业已经被战乱毁尽，哪堪再听见江上鼓角声声。
185,春雨,李商隐 〔唐代〕,https://www.gushiwen.cn/shiwenv_9ae72ef063c3.aspx,"怅卧新春白袷衣，白门寥落意多违。
红楼隔雨相望冷，珠箔飘灯独自归。
远路应悲春晼晚，残宵犹得梦依稀。
玉珰缄札何由达，万里云罗一雁飞。",灞上秋居,春晓,春望,新春时节，我身披白衫怅然地卧在床上；幽会的白门冷落了，令我万分感伤。隔着蒙蒙细雨凝视红楼更觉凄凉，只好顶着珠帘般的细雨，在依稀闪烁的灯光中黯然归来。凄楚的暮春，遥远的路途，哪里可以寄托我的悲凄伤感？只有在残宵梦中才能与你相见。耳环情书已备好，怎么才能送达？只有寄希望于万里长空中，那一只刚刚飞来的鸿雁。
186,春泛若耶溪,綦毋潜 〔唐代〕,https://www.gushiwen.cn/shiwenv_99260121fb8c.aspx,"幽意无断绝，此去随所偶。
晚风吹行舟，花路入溪口。
际夜转西壑，隔山望南斗。
潭烟飞溶溶，林月低向后。
生事且弥漫，愿为持竿叟。",泊秦淮,溪居,青溪,我寻幽探胜的心意没有定止，随着一路看见的景色生发不已。习晚风，吹拂着行舟，船儿任凭轻风吹送，转入春花夹岸的溪口。到了夜晚，又转过西边的山谷，隔山仰望天上的南斗。水潭上升起溶溶的烟雾，林中月亮仿佛低落在行舟的背后。人生世事正如溪水上弥漫无边的烟雾，缥缈迷茫，不如做一名隐居的钓叟。
187,春望,杜甫 〔唐代〕,https://www.gushiwen.cn/shiwenv_89d3a63c6d7f.aspx,"国破山河在，城春草木深。
感时花溅泪，恨别鸟惊心。
烽火连三月，家书抵万金。
白头搔更短，浑欲不胜簪。",望蓟门,野望,望岳,国都遭侵但山河依旧，长安城里的杂草和树木茂盛地疯长。感伤国事，看到花开不禁潸然泪下，内心惆怅怨恨，听到鸟鸣，竟觉得那叫声也很揪心。连绵的战火已经持续很长时间了，家书难得，一封抵得上万两黄金。愁绪缠绕，搔头思考，白发越搔越少，简直要不能插簪了。
188,春晓,孟浩然 〔唐代〕,https://www.gushiwen.cn/shiwenv_ccee5691ba93.aspx,"春眠不觉晓，处处闻啼鸟。
夜来风雨声，花落知多少。",金谷园,春雨,春望,春日熟睡，不知不觉天已破晓，到处都可以听见鸟儿的啼叫。回想昨夜听到的阵阵风雨声，不知有多少娇美的春花被吹落。
189,春怨·纱窗日落渐黄昏,刘方平 〔唐代〕,https://www.gushiwen.cn/shiwenv_8ab3c688ad04.aspx,"纱窗日落渐黄昏，金屋无人见泪痕。
寂寞空庭春欲晚，梨花满地不开门。",宫词·寂寂花时闭院门,春怨·打起黄莺儿,春宫怨,纱窗外太阳慢慢落下，黄昏渐渐降临；宫门幽闭，无人看见我悲哀的泪痕。寂寞幽寂的庭院内春天已临近尽头，梨花落满地面而院门紧掩。
190,春怨·打起黄莺儿,金昌绪 〔唐代〕,https://www.gushiwen.cn/shiwenv_11889cf7beab.aspx,"打起黄莺儿，莫教枝上啼。
啼时惊妾梦，不得到辽西。",赠阙下裴舍人,春怨·纱窗日落渐黄昏,春思·莺啼燕语报新年,我敲打树枝赶走了树上的黄莺，不让它在树枝上不停鸣叫。它的叫声会惊破我的好梦，不能到辽西与戍守边关的亲人相见。
191,春思·莺啼燕语报新年,皇甫冉 〔唐代〕,https://www.gushiwen.cn/shiwenv_703276b8042c.aspx,"莺啼燕语报新年，马邑龙堆路几千。
家住层城临汉苑，心随明月到胡天。(层城 一作：秦城)
机中锦字论长恨，楼上花枝笑独眠。
为问元戎窦车骑，何时返旆勒燕然。",出塞,春思·燕草如碧丝,长相思·其二,莺歌燕语预报了临近新年，马邑龙堆是几千里的疆边。家住京城比邻着汉室宫苑，心随明月飞到边陲的胡天。织锦回文诉说思念的长恨，楼上花枝取笑我依然独眠。请问你主帅车骑将军窦宪，何时班师回朝刻石燕然山。
192,春思·燕草如碧丝,李白 〔唐代〕,https://www.gushiwen.cn/shiwenv_727c47ecf120.aspx,"燕草如碧丝，秦桑低绿枝。
当君怀归日，是妾断肠时。
春风不相识，何事入罗帏。",长相思·其二,春思·莺啼燕语报新年,长相思·其一,燕地小草刚像丝绒一般柔软纤细，秦地的桑叶早已茂密得压弯了树枝。当你怀念家园盼望归家之日时，我早就因思念你而愁肠百结。春风啊你与我素不相识，为何要吹进罗帐激起我的愁思呢？
193,春宿左省,杜甫 〔唐代〕,https://www.gushiwen.cn/shiwenv_2d9e4af24a52.aspx,"花隐掖垣暮，啾啾栖鸟过。
星临万户动，月傍九霄多。
不寝听金钥，因风想玉珂。
明朝有封事，数问夜如何。",听安万善吹觱篥歌,寄左省杜拾遗,宿府,傍晚时分，“左省”里开放的花朵隐约可见，天空中投林栖息的鸟儿飞鸣而过。在夜空群星的照耀下，宫殿中的千门万户也似乎在闪动；宫殿高入云霄，靠近月亮，仿佛照到的月光也特别多。值夜时睡不着觉，仿佛听到了有人开宫门的锁钥声；风吹檐间铃铎，好像听到了百官骑马上朝的马铃响。明日早朝要上封事，心绪不宁，反反复复讯问宵夜到了什么时辰？
194,春宫曲,王昌龄 〔唐代〕,https://www.gushiwen.cn/shiwenv_ac8928c6f24a.aspx,"昨夜风开露井桃，未央前殿月轮高。
平阳歌舞新承宠，帘外春寒赐锦袍。",长恨歌,后宫词,秋夜曲,昨夜的春风吹开了露井边的桃花，未央宫前的明月高高地挂在天上。平阳公主的歌女卫子夫新近受到汉武帝的宠爱，因帘外春寒，她便受到锦袍的赐予。
195,春宫怨,杜荀鹤 〔唐代〕,https://www.gushiwen.cn/shiwenv_c68b17ec4941.aspx,"早被婵娟误，欲妆临镜慵。
承恩不在貌，教妾若为容。
风暖鸟声碎，日高花影重。
年年越溪女，相忆采芙蓉。",长恨歌,闺怨,怨情,早年我被容貌美丽所误，落入宫中；本想梳妆打扮一番，但一想到美貌误人，又不免迟疑起来，懒得动手了。蒙恩受幸，其实不在于俏丽的容颜；到底为取悦谁，叫我梳妆修饰仪容。鸟儿啼声繁碎，是为有和暖的春风；正午艳阳高照，花影才会叠叠重重。我真想念，年年在越溪浣纱的女伴；欢歌笑语，自由自在地采撷着芙蓉。
196,早秋三首·其一,许浑 〔唐代〕,https://www.gushiwen.cn/shiwenv_a0d7b609d5a0.aspx,"遥夜泛清瑟，西风生翠萝。
残萤委玉露，早雁拂金河。(委 一作：栖)
高树晓还密，远山晴更多。
淮南一叶下，自觉洞庭波。(洞庭波 一作：老烟波)",宣州谢朓楼饯别校书叔云,长干行·其一,玉阶怨,漫漫长夜中泛流着琴瑟的清音；西风飕飕，吹拂而过，好像有青萝蔓枝而生。几只残存的萤火虫，栖息在沾满白露的野草上；清秋的拂晓，一行大雁掠过朝阳初照下的泛着金光的河面。曙光初照，高大的树木依然枝叶繁茂；晴空万里，峰峦迭翠，层次格外分明。淮南子有一叶落而知岁暮之句；我悟到洞庭波兮木叶下的诗情。
197,早寒江上有怀,孟浩然 〔唐代〕,https://www.gushiwen.cn/shiwenv_219b75964f74.aspx,"木落雁南度，北风江上寒。
我家襄水曲，遥隔楚云端。
乡泪客中尽，孤帆天际看。(孤帆 一作：归帆)
迷津欲有问，平海夕漫漫。",送綦毋潜落第还乡,楚江怀古三首·其一,终南望余雪,树叶飘落大雁飞向南方，北风萧瑟江上分外寒冷。我家就在弯曲的襄水边，远隔楚地天地云海茫茫。思乡的眼泪在异乡流尽，遥看天边的归来孤帆。风烟迷离渡口又在何处，茫茫江水在夕阳下荡漾。
198,早发白帝城,李白 〔唐代〕,https://www.gushiwen.cn/shiwenv_0f81015a040c.aspx,"朝辞白帝彩云间，千里江陵一日还。
两岸猿声啼不住，轻舟已过万重山。",登鹳雀楼,天末怀李白,初发扬子寄元大校书,清晨，我告别高入云霄的白帝城，江陵远在千里之外，船行只需要一天时间便能返回。两岸猿声还在耳边不停地回荡，轻快的小舟已驶过万重青山。
199,无题二首·其一,李商隐 〔唐代〕,https://www.gushiwen.cn/shiwenv_05c6c4ccf634.aspx,"昨夜星辰昨夜风，画楼西畔桂堂东。
身无彩凤双飞翼，心有灵犀一点通。
隔座送钩春酒暖，分曹射覆蜡灯红。
嗟余听鼓应官去，走马兰台类转蓬。",近试上张水部,感遇十二首·其一,梦李白二首·其一,昨夜星光灿烂，夜半却有习习凉风；我们酒筵设在画楼西畔、桂堂之东。身上虽没有彩凤的双翼，不能比翼齐飞；但你我内心却像灵犀一样，感情息息相通。互相猜钩嬉戏，隔座对饮春酒暖心；分组来行酒令，决一胜负烛光泛红。可叹呵，听到五更鼓应该上朝点卯；策马赶到兰台，像随风飘转的蓬蒿。
200,无题·飒飒东风细雨来,李商隐 〔唐代〕,https://www.gushiwen.cn/shiwenv_ebdbde03b7f9.aspx,"飒飒东风细雨来，芙蓉塘外有轻雷。
金蟾啮锁烧香入，玉虎牵丝汲井回。
贾氏窥帘韩掾少，宓妃留枕魏王才。
春心莫共花争发，一寸相思一寸灰！",寒食,无题·来是空言去绝踪,无题·重帏深下莫愁堂,东风飒飒，蒙蒙细雨飘洒，荷花塘外传来了声声轻雷。金蟾啮锁的香炉所散发的香气沁人心脾，状似玉虎的辘轳，牵引绳索汲井水。贾氏隔帘偷窥韩寿英俊年少，宓妃赠送玉枕钦慕曹植文采。向往美好爱情的心愿切莫和春花争荣竞发，免得使我相思之心如飞灰飘散。
201,无题·重帏深下莫愁堂,李商隐 〔唐代〕,https://www.gushiwen.cn/shiwenv_cad3c6bebe91.aspx,"重帏深下莫愁堂，卧后清宵细细长。
神女生涯原是梦，小姑居处本无郎。
风波不信菱枝弱，月露谁教桂叶香。
直道相思了无益，未妨惆怅是清狂。",夏日南亭怀辛大,无题·凤尾香罗薄几重,无题·飒飒东风细雨来,幽寂的厅堂中层层帷幕深垂；独卧床上，追思前事，倍感静夜的漫长。如巫山神女一样有浪漫的奇遇原是一场梦，仍像青溪小姑那样独处无情郎。风波不信菱枝柔弱，偏要摧残；像那具有芬芳美质的桂叶，却无月露滋润使之飘香。即使深知沉溺相思是全无益处，也无妨终生惆怅落个似醉如狂。
